sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
0,100000.0,0.6000000000000001,0.5,greenway,0.0,50.0
1,100000.0,0.6000000000000001,0.5,recreation,0.2,15.0
2,100000.0,0.6000000000000001,2.833333333333333,recreation,0.0,50.0
3,100000.0,0.2,2.833333333333333,recreation,0.4,14.0
4,34000.00000000001,0.2,2.833333333333333,recreation,0.0,50.0
5,34000.00000000001,0.2,1.6666666666666667,sports,0.4,25.0
6,100000.0,0.2,1.6666666666666667,sports,0.0,50.0
7,100000.0,0.2,1.6666666666666667,recreation,0.0,50.0
8,100000.0,0.6000000000000001,1.6666666666666667,recreation,0.8,13.0
9,100000.0,0.6000000000000001,4.0,recreation,0.0,50.0
10,1000.0,0.6000000000000001,0.5,recreation,0.0,50.0
11,1000.0,0.2,0.5,recreation,0.2,36.0
12,67000.0,0.2,0.5,recreation,0.6,19.0
13,67000.0,0.2,2.833333333333333,recreation,0.2,21.0
14,67000.0,0.2,2.833333333333333,sports,0.0,50.0
15,100000.0,0.2,2.833333333333333,recreation,0.4,14.0
16,100000.0,0.6000000000000001,2.833333333333333,recreation,0.2,14.0
17,34000.00000000001,0.6000000000000001,2.833333333333333,recreation,0.2,22.0
18,34000.00000000001,0.6000000000000001,0.5,recreation,0.4,23.5
19,34000.00000000001,0.6000000000000001,0.5,greenway,0.2,21.0
20,1000.0,0.6000000000000001,4.0,sports,0.0,50.0
21,1000.0,0.6000000000000001,4.0,recreation,0.0,50.0
22,1000.0,0.2,4.0,recreation,0.4,32.0
23,67000.0,0.2,4.0,recreation,0.2,15.0
24,67000.0,0.2,1.6666666666666667,recreation,0.2,18.0
25,100000.0,0.2,2.833333333333333,sports,0.2,16.0
26,100000.0,0.2,0.5,sports,0.2,14.0
27,34000.00000000001,0.2,0.5,sports,0.0,50.0
28,34000.00000000001,0.6000000000000001,0.5,sports,0.4,24.5
29,34000.00000000001,0.6000000000000001,0.5,recreation,0.2,22.0
30,67000.0,0.4,4.0,greenway,0.2,19.0
31,67000.0,0.4,4.0,recreation,0.0,50.0
32,1000.0,0.4,4.0,recreation,0.0,50.0
33,1000.0,0.4,1.6666666666666667,recreation,0.2,40.0
34,1000.0,0.8,1.6666666666666667,recreation,0.0,50.0
35,34000.00000000001,0.4,2.833333333333333,greenway,0.4,18.0
36,34000.00000000001,0.8,2.833333333333333,greenway,0.0,50.0
37,34000.00000000001,0.8,0.5,greenway,0.2,19.0
38,34000.00000000001,0.8,0.5,recreation,0.2,20.0
39,100000.0,0.8,0.5,recreation,0.2,11.0
40,67000.0,0.8,0.5,recreation,0.0,50.0
41,67000.0,0.4,0.5,recreation,0.4,15.5
42,67000.0,0.4,2.833333333333333,recreation,0.4,16.5
43,67000.0,0.4,2.833333333333333,greenway,0.0,50.0
44,1000.0,0.4,2.833333333333333,greenway,0.2,25.0
45,1000.0,0.4,4.0,recreation,0.2,32.0
46,67000.0,0.4,4.0,recreation,0.0,50.0
47,67000.0,0.4,1.6666666666666667,recreation,0.4,15.0
48,67000.0,0.8,1.6666666666666667,recreation,0.0,50.0
49,67000.0,0.8,1.6666666666666667,sports,0.2,19.0
50,100000.0,0.8,2.833333333333333,greenway,0.0,50.0
51,100000.0,0.8,0.5,greenway,0.0,50.0
52,100000.0,0.8,0.5,recreation,0.6,14.0
53,34000.00000000001,0.8,0.5,recreation,0.0,50.0
54,34000.00000000001,0.4,0.5,recreation,0.2,30.0
55,34000.00000000001,0.4,0.5,greenway,0.2,28.0
56,100000.0,0.4,0.5,greenway,0.2,16.0
57,100000.0,0.8,0.5,greenway,0.4,14.0
58,100000.0,0.8,2.833333333333333,greenway,0.4,12.0
59,100000.0,0.8,2.833333333333333,recreation,0.2,11.0
60,34000.00000000001,0.8,2.833333333333333,sports,0.2,23.0
61,34000.00000000001,0.8,0.5,sports,0.0,50.0
62,100000.0,0.8,0.5,sports,0.4,14.5
63,100000.0,0.4,0.5,sports,0.0,50.0
64,100000.0,0.4,0.5,recreation,0.4,14.5
65,100000.0,0.2,4.0,greenway,0.0,50.0
66,100000.0,0.2,1.6666666666666667,greenway,0.2,15.0
67,100000.0,0.6000000000000001,1.6666666666666667,greenway,0.0,50.0
68,100000.0,0.6000000000000001,1.6666666666666667,recreation,0.2,13.0
69,34000.00000000001,0.6000000000000001,1.6666666666666667,recreation,0.2,26.0
70,67000.0,0.6000000000000001,2.833333333333333,recreation,0.0,50.0
71,67000.0,0.6000000000000001,0.5,recreation,0.0,50.0
72,67000.0,0.2,0.5,recreation,0.4,24.0
73,1000.0,0.2,0.5,recreation,0.0,50.0
74,1000.0,0.2,0.5,sports,0.0,50.0
75,1000.0,0.4,4.0,recreation,0.2,39.0
76,1000.0,0.8,4.0,recreation,0.0,50.0
77,1000.0,0.8,1.6666666666666667,recreation,0.0,50.0
78,1000.0,0.8,1.6666666666666667,greenway,0.4,28.5
79,67000.0,0.8,1.6666666666666667,greenway,0.4,14.5
80,67000.0,0.6000000000000001,4.0,greenway,0.6,15.0
81,67000.0,0.6000000000000001,1.6666666666666667,greenway,0.4,18.5
82,1000.0,0.6000000000000001,1.6666666666666667,greenway,0.4,33.0
83,1000.0,0.2,1.6666666666666667,greenway,0.2,31.0
84,1000.0,0.2,1.6666666666666667,recreation,0.2,29.0
85,100000.0,0.6000000000000001,4.0,sports,0.4,13.5
86,100000.0,0.6000000000000001,4.0,recreation,0.4,12.5
87,100000.0,0.6000000000000001,1.6666666666666667,recreation,0.2,13.0
