sample_idx,park_size,park_quality,park_proximity,park_function,p_kipp,median_kipp_time
0,10000.0,0.45861768461763863,2.0,greenway,0.0,50.0
1,10000.0,0.6838476600125433,2.0,greenway,0.2,27.0
2,10000.0,0.45861768461763863,2.0,recreation,0.0,50.0
3,10000.0,0.45861768461763863,2.0,recreation,0.0,50.0
4,10000.0,0.6838476600125433,2.0,greenway,0.0,50.0
5,10000.0,0.6838476600125433,2.0,recreation,0.0,50.0
6,10000.0,0.5366224002093077,2.0,recreation,0.2,31.0
7,10000.0,0.3073096875101328,2.0,recreation,0.0,50.0
8,10000.0,0.5366224002093077,2.0,sports,0.2,28.0
9,10000.0,0.5366224002093077,2.0,sports,0.0,50.0
10,10000.0,0.3073096875101328,2.0,recreation,0.0,50.0
11,10000.0,0.3073096875101328,2.0,sports,0.2,32.0
12,10000.0,0.6994807878509165,2.0,greenway,0.2,23.0
13,10000.0,0.5782301077619196,2.0,greenway,0.0,50.0
14,10000.0,0.6994807878509165,2.0,recreation,0.2,25.0
15,10000.0,0.6994807878509165,2.0,recreation,0.0,50.0
16,10000.0,0.5782301077619196,2.0,greenway,0.2,27.0
17,10000.0,0.5782301077619196,2.0,recreation,0.2,22.0
18,10000.0,0.3240291016176343,2.0,recreation,0.2,32.0
19,10000.0,0.3566726621240378,2.0,recreation,0.0,50.0
20,10000.0,0.3240291016176343,2.0,greenway,0.0,50.0
21,10000.0,0.3240291016176343,2.0,greenway,0.2,27.0
22,10000.0,0.3566726621240378,2.0,recreation,0.0,50.0
23,10000.0,0.3566726621240378,2.0,greenway,0.6,28.0
24,10000.0,0.21127759870141746,2.0,sports,0.0,50.0
25,10000.0,0.21127486396580936,2.0,sports,0.2,37.0
26,10000.0,0.21127759870141746,2.0,greenway,0.4,31.5
27,10000.0,0.21127759870141746,2.0,greenway,0.2,29.0
28,10000.0,0.21127486396580936,2.0,sports,0.2,28.0
29,10000.0,0.21127486396580936,2.0,greenway,0.2,31.0
30,10000.0,0.7372316805645824,2.0,sports,0.2,24.0
31,10000.0,0.7425003577023745,2.0,sports,0.0,50.0
32,10000.0,0.7372316805645824,2.0,sports,0.2,27.0
33,10000.0,0.7372316805645824,2.0,sports,0.0,50.0
34,10000.0,0.7425003577023745,2.0,sports,0.0,50.0
35,10000.0,0.7425003577023745,2.0,sports,0.2,33.0
36,10000.0,0.6488715052604677,2.0,greenway,0.4,22.0
37,10000.0,0.4528162056580186,2.0,greenway,0.2,30.0
38,10000.0,0.6488715052604677,2.0,greenway,0.4,28.5
39,10000.0,0.6488715052604677,2.0,greenway,0.4,24.0
40,10000.0,0.4528162056580186,2.0,greenway,0.2,26.0
41,10000.0,0.4528162056580186,2.0,greenway,0.2,26.0
42,10000.0,0.4213691852986813,2.0,recreation,0.0,50.0
43,10000.0,0.5196861278265715,2.0,recreation,0.2,31.0
