size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.18,35.0,4363.22,5020.23,100
1000,0.2,0.5,recreation,,,0.17,35.0,4387.62,4978.54,100
1000,0.2,0.5,sports,,,0.11,36.0,4440.75,5002.24,100
1000,0.2,2.0,greenway,,,0.12,32.0,5496.05,5279.35,100
1000,0.2,2.0,recreation,,,0.15,32.0,5563.26,4903.82,100
1000,0.2,2.0,sports,,,0.22,35.0,5182.38,4997.43,100
1000,0.2,4.0,greenway,,,0.2,30.0,5308.24,4941.33,100
1000,0.2,4.0,recreation,,,0.18,31.5,4811.53,5022.32,100
1000,0.2,4.0,sports,,,0.15,33.0,4833.21,4904.99,100
1000,0.4,0.5,greenway,,,0.22,33.0,4958.63,5036.15,100
1000,0.4,0.5,recreation,,,0.21,32.0,4804.6,4964.21,100
1000,0.4,0.5,sports,,,0.16,35.0,5521.89,4787.74,100
1000,0.4,2.0,greenway,,,0.17,31.0,5360.52,4947.87,100
1000,0.4,2.0,recreation,,,0.16,30.0,5232.8,5053.53,100
1000,0.4,2.0,sports,,,0.18,35.5,4629.86,5155.42,100
1000,0.4,4.0,greenway,,,0.11,27.0,4800.09,4947.94,100
1000,0.4,4.0,recreation,,,0.11,27.0,4788.07,5058.64,100
1000,0.4,4.0,sports,,,0.2,30.5,5399.3,4881.8,100
1000,0.6,0.5,greenway,,,0.18,34.0,4932.41,5228.46,100
1000,0.6,0.5,recreation,,,0.15,32.0,4883.63,5035.53,100
1000,0.6,0.5,sports,,,0.14,35.5,4843.83,4930.06,100
1000,0.6,2.0,greenway,,,0.17,29.0,4794.85,4842.73,100
1000,0.6,2.0,recreation,,,0.12,31.0,5101.24,5001.49,100
1000,0.6,2.0,sports,,,0.15,32.0,4995.34,4788.65,100
1000,0.6,4.0,greenway,,,0.1,28.5,4654.73,4936.6,100
1000,0.6,4.0,recreation,,,0.15,27.0,4526.77,4930.77,100
