size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.14,34.0,5278.32,5000.13,50
1000,0.2,0.5,recreation,,,0.2,35.0,4387.62,5004.07,50
1000,0.2,0.5,sports,,,0.14,37.0,4711.83,4766.2,50
1000,0.2,2.0,greenway,,,0.16,32.0,4363.22,4819.37,50
1000,0.2,2.0,recreation,,,0.08,32.5,4440.75,5151.63,50
1000,0.2,2.0,sports,,,0.2,36.0,5403.83,5075.71,50
1000,0.2,4.0,greenway,,,0.24,29.5,4975.96,4947.02,50
1000,0.2,4.0,recreation,,,0.12,29.0,5001.34,4867.53,50
1000,0.2,4.0,sports,,,0.18,32.0,4585.99,4942.86,50
1000,0.4,0.5,greenway,,,0.1,33.0,4494.01,5328.88,50
1000,0.4,0.5,recreation,,,0.2,35.0,4938.69,5035.79,50
1000,0.4,0.5,sports,,,0.14,36.0,4956.23,5274.86,50
1000,0.4,2.0,greenway,,,0.18,32.0,5026.55,5014.14,50
1000,0.4,2.0,recreation,,,0.1,35.0,4811.53,5156.3,50
1000,0.4,2.0,sports,,,0.26,34.0,4985.45,5001.61,50
1000,0.4,4.0,greenway,,,0.16,28.5,5319.19,4977.79,50
1000,0.4,4.0,recreation,,,0.12,29.0,4833.21,4665.94,50
1000,0.4,4.0,sports,,,0.24,30.5,5308.24,4929.3,50
1000,0.6,0.5,greenway,,,0.18,31.0,4791.21,4734.82,50
1000,0.6,0.5,recreation,,,0.22,30.0,4804.6,4922.51,50
1000,0.6,0.5,sports,,,0.2,33.0,4595.68,5055.29,50
1000,0.6,2.0,greenway,,,0.24,29.0,4958.63,5145.74,50
1000,0.6,2.0,recreation,,,0.14,29.0,5521.89,4918.2,50
1000,0.6,2.0,sports,,,0.2,33.5,4817.76,4998.46,50
1000,0.6,4.0,greenway,,,0.16,28.0,4816.97,5030.08,50
1000,0.6,4.0,recreation,,,0.16,27.5,5104.27,4810.93,50
1000,0.6,4.0,sports,,,0.16,28.0,5304.79,5103.67,50
