size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.2,0.5,greenway,,,0.0,,4575.93,,1
1000,0.2,0.5,recreation,,,0.0,,4387.62,,1
1000,0.2,0.5,sports,,,0.0,,5364.96,,1
1000,0.2,2.0,greenway,,,0.0,,4444.96,,1
1000,0.2,2.0,recreation,,,0.0,,4353.06,,1
1000,0.2,2.0,sports,,,0.0,,4454.45,,1
1000,0.2,4.0,greenway,,,0.0,,5243.44,,1
1000,0.2,4.0,recreation,,,0.0,,4894.79,,1
1000,0.2,4.0,sports,,,0.0,,5125.01,,1
1000,0.4,0.5,greenway,,,0.0,,4987.38,,1
1000,0.4,0.5,recreation,,,0.0,,4739.77,,1
1000,0.4,0.5,sports,,,0.0,,5149.75,,1
1000,0.4,2.0,greenway,,,0.0,,4793.93,,1
1000,0.4,2.0,recreation,,,0.0,,4632.88,,1
1000,0.4,2.0,sports,,,0.0,,4858.02,,1
1000,0.4,4.0,greenway,,,0.0,,4776.22,,1
1000,0.4,4.0,recreation,,,0.0,,5198.41,,1
1000,0.4,4.0,sports,,,0.0,,4825.0,,1
1000,0.6,0.5,greenway,,,0.0,,4472.7,,1
1000,0.6,0.5,recreation,,,0.0,,5059.77,,1
1000,0.6,0.5,sports,,,0.0,,4434.95,,1
1000,0.6,2.0,greenway,,,0.0,,4643.49,,1
1000,0.6,2.0,recreation,,,1.0,30.0,4960.39,4968.6,1
1000,0.6,2.0,sports,,,0.0,,4550.1,,1
1000,0.6,4.0,greenway,,,0.0,,5185.93,,1
1000,0.6,4.0,recreation,,,0.0,,5284.19,,1
1000,0.6,4.0,sports,,,0.0,,4481.26,,1
1000,0.8,0.5,recreation,,,0.0,,4316.2,,1
1000,0.8,0.5,sports,,,0.0,,4449.71,,1
1000,0.8,2.0,greenway,,,0.0,,5211.27,,1
1000,0.8,2.0,recreation,,,0.0,,4976.21,,1
1000,0.8,2.0,sports,,,0.0,,5040.24,,1
1000,0.8,4.0,greenway,,,0.0,,4351.19,,1
1000,0.8,4.0,recreation,,,0.0,,5296.93,,1
1000,0.8,4.0,sports,,,0.0,,5298.31,,1
