size,quality,proximity,function,investment_cost,annual_operational_cost,p_kipp,median_kipp_time,rent_threshold,rent_at_kipp,n_runs
1000,0.4,2.0,greenway,,,0.0,,,,1
1000,0.4,2.0,recreation,,,0.0,,,,1
1000,0.4,2.0,sports,,,0.0,,,,1
1000,0.4,4.0,greenway,,,0.0,,,,1
1000,0.4,4.0,recreation,,,0.0,,,,1
1000,0.4,4.0,sports,,,0.0,,,,1
1000,0.6,0.5,recreation,,,0.0,,,,1
1000,0.6,0.5,sports,,,0.0,,,,1
1000,0.6,2.0,greenway,,,0.0,,,,1
1000,0.6,2.0,sports,,,0.0,,,,1
1000,0.6,4.0,greenway,,,0.0,,,,1
1000,0.6,4.0,recreation,,,0.0,,,,1
1000,0.6,4.0,sports,,,0.0,,,,1
1000,0.8,0.5,recreation,,,0.0,,,,1
